V1,V2,V3,V4,V5,V6,V7,V8
6737.117,6703.1943,6747.949,6739.8354,6797.2124,6777.6494,6853.1353,6881.3994
7104.784,7191.9326,7204.1875,7231.144,7301.192,7361.1553,7427.1226,7513.0884
7182.6514,7192.145,7202.185,7207.145,7221.035,7227.095,7233.115,7250.135
7704.2407,7737.92,7781.9,7851.8,7893.85,7937.85,7975.85,8003.85
1128.75,1027.75,1201.75,1401.75,1133.75,1058.75,1251.75,1441.75
9844.9,9871.7,9964.9,10041.7,10101.7,10127.7,10215.7,10285.7
3344.8,3351.8,3361.8,3390.8,3397.4,3422.8,3433.4,3451.8
2611.7,2627.7,2651.7,2663.7,2673.7,2691.7,2707.7,2723.7
2497.8,2487.8,2503.8,2521.8,2531.8,2527.8,2537.8,2553.8
2537.9,2527.9,2557.9,2561.9,2557.9,2563.9,2581.9,2587.9
1154.7,1152.7,1153.7,1154.7,1157.7,1156.7,1154.7,1157.7
3295.75,3045.75,3364.75,3450.75,3355.75,3230.75,3550.75,3557.75
1753.4,1765.4,1791.4,1807.4,1823.4,1841.4,1861.4,1877.4
12440.75,12360.75,12475.75,12575.75,12585.75,12635.75,12705.75,12755.75
1257.75,1253.75,1331.75,1353.75,1291.75,1291.75,1373.75,1377.75
2005.75,2023.75,2081.75,2103.75,2123.75,2141.75,2167.75,2187.75
2473.9,2497.7,2531.7,2527.7,2551.7,2571.7,2591.7,2587.7
4747.75,4507.75,4981.75,4853.75,4883.75,4653.75,4987.75,4937.75
5831.75,5911.75,5987.75,6023.75,6099.75,6153.75,6203.75,6241.75
6364.5,6391.0,6473.0,6557.0,6623.0,6681.0,6703.0,6721.0
9893.75,10063.75,10145.75,10225.75,10255.75,10355.75,10435.75,10535.75
4985.75,4985.75,5125.75,5175.75,5125.75,5130.75,5190.75,5220.75
6001.8,5984.4,6077.8,6153.8,6123.8,6151.8,6227.8,6293.8
2332.8,2354.7,2357.7,2354.7,2354.7,2357.7,2359.7,2361.7
1373.7,1381.7,1377.4,1383.4,1381.7,1391.7,1385.7,1387.7
7520.75,7075.75,7600.75,9360.75,7850.75,7700.75,8170.75,9400.75
9187.75,9241.75,9281.75,9337.75,9367.75,9417.75,9447.75,9477.75
5130.75,4985.75,4985.75,5050.75,5210.75,5185.75,5150.75,5190.75
1890.75,1910.75,1930.75,1945.75,1950.75,1970.75,1990.75,2005.75
3100.75,3130.75,3085.75,3115.75,3130.75,3155.75,3125.75,3145.75
2490.75,2495.75,2495.75,2485.75,2495.75,2520.75,2530.75,2505.75
4790.75,4740.75,4850.75,4930.75,4985.75,4980.75,5075.75,5130.75
8300.75,8350.75,8430.75,8480.75,8550.75,8630.75,8690.75,8640.75
7160.75,7200.75,7360.75,7250.75,7350.75,7360.75,7460.75,7410.75
10055.75,10250.75,10185.75,10175.75,10215.75,10400.75,10385.75,10195.75
9180.75,9110.75,9185.75,9330.75,9360.75,9385.75,9450.75,9530.75
4740.75,4745.75,4795.75,4790.75,4855.75,4950.75,4935.75,4985.75
6400.75,6375.75,6550.75,6585.75,6610.75,6655.75,6680.75,6700.75
5590.75,5670.75,6130.75,5890.75,5550.75,5850.75,6270.75,6000.75
5200.75,5235.75,5290.75,5280.75,5350.75,5390.75,5425.75,5485.75
1902.75,1904.75,1913.75,1915.75,1921.75,1924.75,1931.75,1933.75
2113.75,2107.75,2131.75,2133.75,2153.75,2171.75,2181.75,2187.75
5480.75,5525.75,5590.75,5575.75,5620.75,5680.75,5675.75,5700.75
1295.75,1303.75,1297.75,1293.75,1313.75,1321.75,1321.75,1323.75
1922.75,1924.75,1934.75,1927.75,1942.75,1944.75,1951.75,1954.75
3340.75,3360.75,3365.75,3375.75,3380.75,3410.75,3420.75,3430.75
9740.75,9890.75,9960.75,10065.75,9970.75,10055.75,10145.75,10205.75
1407.0,1397.0,1403.0,1451.0,1457.0,1463.0,1471.0,1483.0
8930.75,9110.75,9185.75,9180.75,9360.75,9410.75,9530.75,9500.75
9360.75,9490.75,9580.75,9500.75,9590.75,9690.75,9775.75,9755.75
1477.9,1512.8,1517.7,1487.4,1531.7,1555.7,1561.7,1517.7
5850.75,5920.75,5950.75,6000.75,6030.75,6070.75,6100.75,6130.75
2613.75,2651.75,2687.75,2657.75,2687.75,2707.75,2737.75,2677.75
1661.75,1671.75,1683.75,1693.75,1703.75,1721.75,1733.75,1747.75
6970.75,7010.75,7070.75,7090.75,7160.75,7195.75,7260.75,7330.75
2877.75,2883.75,2923.75,2887.75,2927.75,2943.75,2971.75,2887.75
1471.75,1477.75,1483.75,1491.75,1497.75,1503.75,1511.75,1521.75
7360.75,7480.75,7550.75,7510.75,7575.75,7605.75,7675.75,7685.75
9430.75,9530.75,9590.75,9550.75,9585.75,9640.75,9700.75,9685.75
1397.7,1407.7,1433.7,1427.7,1433.7,1451.7,1457.7,1463.7
2801.7,2831.7,2880.7,2887.7,2924.7,2953.7,2971.7,2991.7
2091.75,2087.75,2103.75,2121.75,2131.75,2137.75,2153.75,2169.75
2922.7,2873.7,2929.7,3003.7,3047.7,3081.7,3133.7,3157.7
3186.7,3225.7,3291.7,3364.7,3384.7,3461.7,3484.7,3553.7
